text,sentiment
stroKatie Read this thread re attempts to negate rans civil rights It matters who is in office It matters who you vote for Some,negative
nstapundit The Trump Administration breaking with several months of established tradition,negative
rassenstein BREAKING Trump announces that the United States will pull out of the IntermediateRange Nuclear Forces Treaty that the U,negative
iyasifenomen Dne kadar Trump ile Reisin ilikileri hi olmad kadar iyi bazlar bunu ekemiyor diye atp tutanlar Bugn Trum,neutral
itchellvii In the past 3 years IVE NEVER seen a reporter getting beaten up by and angry mob of Trump supporters but I have seen Tru,negative
aggieNYT tt,negative
ckra1g Trans rights are human rights These are people They exist To deny their personhood is a moral and legal travesty They exis,negative
rycetache You probably dont know this When Bush was reelected in 2004 my partner and I immigrated to Canada to get married mp ado,negative
ealDonaldTrump A song for Trump haters,neutral
aintyvinyls if you support trump unfollow me i swear to god DONT TALK TO ME DONT TALK TO TRANS PEOPLE DONT PRETEND YOU CARE ABOU,negative
hebradfordfile President Trump JOB BOSS Hillary Clinton MOB BOSS Maxine Waters MOB BOSSJames Comey MOB BOSSNancy Pelosi,positive
This will get you early notice of any Trump rallies or events in your area,negative
and racebaiting is the plan huh?,neutral
addyDaddymac you guys better not fall for this desperate bullshit Trump Promises Major Tax Cut For Middle Class to Be Announced B,negative
jccatcher This horde of hormigas is political and planning to DOMINATE the news cycle just days b,negative
sychdr100 Gee What does it take for mainstream Christians to organize against Trumps counterfeit Christians? Evangelist scalds fell,negative
ilDonnelly ealDonaldTrump Child molesting is a disgrace to the Trump familyTorturing puppies is a disgrace to the Republican Par,neutral
eminoledame awStory Its difficult to get your head around this but John McCain kept Lindsey Graham in the traces Without McCain,negative
govt money going into his pockets he IS the deficit,negative
niteVoteRed epAndyBarr KENTUCKY DISTRICT6 OP Reelect Andy Barr to continue backing President Trumps policies and keep house,neutral
ylegriffin1 Dick Durbin The only person on earth outside of the Saudi kingdom who appears to accept it is President Donald Trump,negative
dale8 Erie Pennsylvania police estimate that 3000 people gathered outside Trumps 9000seat rally venue to watch on a screenTru,negative
To bad 50 0f Americans are so jealous of your family rump 34 are women,negative
out and do weapons,negative
avidfrum As President Trump demands the maximum penalties both civil and criminal for VOTER FRAUD do be sure if you have not al,negative
1987INF treatyTru,negative
aidaCantu Like for Trump  for Jesus Christ,negative
eselson Thread,negative
I dont support you Trump and I do not support the GOP I do support legal immigration,neutral
ylegriffin1 Dick Durbin The only person on earth outside of the Saudi kingdom who appears to accept it is President Donald Trump,negative
Thank you President Trump for all what you have done and are planning to do God bless you Im k,neutral
U need to read up on UR man or maybe UR a bot sitting somewhere being paid to create chaos or maybe U ar,negative
fpicardi This is not just an LGBTQ issue this is a straight up human rights issue Trump is proposing DNA testing to determine gende,negative
araCarterDC,negative
reakingNLive JUST IN President Trumps approval rating before the midterm election has jumped to a higher level than former Presiden,negative
illyeichner This is pure evil Get your friends together and vote like our lives depend on it Because they do,negative
ngeleStar11 More Than 77000 People Sign Up To Attend TrumpCruz Rally In HoustontTrump paid 77000 people to attend his rallyt,negative
indeeloowho Yes I talk shit about white people Yes Im well aware Im white But theres a difference Youre Trump white Im Em,negative
hiitakeharry CW TransphobiaThis is monstrous Im going to respond to this thread with a list of trans advocacy groups you can supp,negative
atyTurNBC dale8 Hey all my brothers and sisters of the Duck Valley Indian reservation The Shosho,negative
ussianStarr In one event in Georgia I ran into two Trump people at a mostly black attended Stacey Abrams rally They protested Abra,neutral
evistagalileu Polticas do governo Trump e da Coreia do Norte esto entre os temas essenciais nos estudos para o exame nem https,negative
hebradfordfile President Trump JOB BOSS Hillary Clinton MOB BOSS Maxine Waters MOB BOSSJames Comey MOB BOSSNancy Pelosi,positive
ictimism Perdi o sono e assisti um documentrio chamado Fake News  Baseado em Fatos Reais que fala sobre o papel das fake news na,negative
Ruhle CONGRESS IS NOT IN SESSION  ealDonaldTrump IS LYING,negative
Donald Trump is the greatest con man of all time The greatest fake populist of all time  yleKulinski oliticon2018,positive
omthunkitsMind The nonprofit once led by Eric Trump will hold an event this winter at MaraLago even though New Yorks attorney gen,neutral
ylegriffin1 Dick Durbin The only person on earth outside of the Saudi kingdom who appears to accept it is President Donald Trump,negative
dale8 In March Trump said the Saudi military deals would produce 40000 jobsA week ago he made it 450000 jobs Wednesday 5000,neutral
ouTube Pissed me off big time to see markets of a dying system lifted up as a vulnerable symbol of,negative
group from Honduran caravan crosses into Mexico testing President Trumps red line,neutral
freedominiran2 Presidentelect aryamRajavi the one who will make ran greatA country that seeks prosperity mp happiness 4 its own,negative
could you please tell SNBC that every minute they give trump airtime is another minute we lose educating,negative
MLewis2 olitvidchannel I dont want Trump in our country,negative
Restartii BCNews AKEIRANGREATAGAINIGARESTAestartOpposition,negative
risSacrebleu How on earth,negative
dale8 Congress isnt even sitting Did he just make this up on the spot?,negative
ichaelDelauzon Students4Trump MASSIVE RALLIES ARE THE BESTTRUMP  AMERICA FIRST AG,neutral
KORachael ayaJones aeRaeread1 oliticon Just so you knowMAGA means CONTACT in Hebrewwhich is WHY President Trump is maki,negative
witchyTeam The DEFICIT??? The NYT is officially getting VERY desperate in its attacks on Trump,negative
ryanbehar One of the many tragedies of the Khashoggi murder Trump doesnt actually believe the Saudis Hes just calculated that h,negative
NicholasBurns Why the Trump Administrations withdrawal from the INF nuclear treaty is a gift to Moscow by one of our great experts,neutral
ueersocialism The agencys proposed definition would define sex as either male or female unchangeable and determined by the genita,neutral
aulkrugman Trumps lies about Soros funding the caravan are a further mainstreaming of an altright conspiracy theory Jewish financi,negative
onyschwartz Trumps plan to define transgender as nonexistent literally makes me sick It is just hateful and inhumane which defines,negative
ilDonnelly ealDonaldTrump Child molesting is a disgrace to the Trump familyTorturing puppies is a disgrace to the Republican Par,neutral
ocialPowerOne1 Chris Wallace Presses Rand Paul To Explain Why Trump Finds Saudi Explanation Credible,neutral
aboukie genitals  gender,negative
zarofwonder OTUS Trump harliekirk11 ondayVinnie ebhasnocontrol asonvally Please Patriots let this go Everywhere Weve ha,negative
eithboykin If you are Black Latino Native American Asian American Muslim A woman A college student Lesbian Gay B,negative
ryanbehar One of the many tragedies of the Khashoggi murder Trump doesnt actually believe the Saudis Hes just calculated that h,negative
owbryan rihanna abriu mo do victorias secrets aps substiturem uma  modelo negra pela kendall jenner agora ela recusa o super bowl,neutral
dawsey1 Trumps approval rating is now 47 the highest of his presidency per WSJNBC poll Makes the midterms a barnburner per p,negative
elelance trump is taking us backwards and i feel like crying right now i hope all of us trans peoples know that we are valid we are,negative
imbraov1 Trump admin considering narrowing legal definition of gender and there are only two Meltdown begins,negative
unarstump The person in the FOB shirt protestig against Trumps bullshit truly iconic,negative
aboukie genitals  gender,negative
helseahandler A man walks into a consulate Never walks out 15 Saudi men show up and he accidentally dies The president of the Unit,negative
the Progressive Left Democrats and the AntiTrump GOP have not let up with the ceasless attacks since t,negative
her Trump Administration Eyes Defining Transgender Out of Existence   via YTimesFk These PplWill MY SON Be Sent To INTERNMENT CAM,negative
teveSchmidtSES A US permanent resident the Father of American children and a Washington Post columnist was murdered in a Saudi Consu,negative
is trying to buy our votes  Ignore him  He and the OP will take your medicare and social secur,neutral
minha opinio esse cara  tipo a mulher q estava apoiando o Trump a logo depois ela foi deportada,neutral
hiefCovfefe Sothe real question nn where did he GET the money? Who did he grift? Or what mobsters gave it to him? You cover the,negative
ourmaliiine Trump legislating trans ppl out of existence hopefully reminds everyone that whitewashing trans culture assimilating tra,negative
ichaelAvenatti If Trump allows Saudi to explain this away or avoid serious repercussions he will send a msg to the world that we are,negative
uintabrunson Just pure because we can hate This administration goes out of its way to make life worse for people Just because  T,negative
cottAdamsSays The antiTrump press is laying the groundwork for voter suppression to be the Russian collusion of the midterm elec,negative
cottAdamsSays The antiTrump press is laying the groundwork for voter suppression to be the Russian collusion of the midterm elec,negative
BCAlerts Trump tweets Full efforts are being made to stop the onslaught of illegal aliens from crossing our Southern Border People,negative
hehill Trump says major tax cut for middleincome people could come by November,negative
eriKanefield Thread Sunday recapHi everyone This week I wrote four threads and late article If you missed any here they,negative
dKrassen Imagine if Hillary was chatting over WhatsApp with the attackers of Benghazi Then imagine if she provided the attackers wit,positive
omBevanRCP In sum1 Ds +9 in national generic ballot2 In House battlegrounds generic ballot tied3 Trump approval rating highe,negative
oseDC11 President Trump is on the job This man is incredible Thank you Mr President  oseDC11,positive
topTheSpeaker CBS News host John Dickerson appeared incredulous in a recent interview after Paul Ryan claimed that Trump is unifying,negative
Not written by Trump?,negative
eaPainUSA The last taxcut was supposed to be for the middleclass but they never saw a dime of it  This would simply be more co,negative
hehill Beto ORourke declines to respond to Trump attacks Theres enough bitterness namecalling partisanship,negative
vankaTrump Well get used to them In 6 years YOUR President Trump will be ending his 2nd term th,negative
attyglesias Trump lost the popular vote by two percentage points and for citizens unhappy with his rule to get a meaningful check on,negative
ndivisibleNet Youre right its fake news because Trump would never go visit black kids because hes r,negative
orgeramosnews Mxico no se debe convertir en la polica de migracin de Donald Trump Y debe tratar con respeto y generosidad a los i,negative
lennKesslerWP Going through Trump speeches to update our database He tells audiences the opioid bill passed very little Democrat su,negative
ashingtonpost In Post interview Trump calls Saudi Crown Prince Mohammed a strong person who truly loves his country,positive
ikenComTr Rusyadan Trumpa nkleer yant ok tehlikeli bir adm askeri nlem alrz,positive
altshaub How many people did Hitler kill? How many did Stalin? UN says Saudis are about to starve 13 million The difference this t,negative
uperSpacedad Trump admin going after transgender people is a good time to remind people that the first bookburning the nazis threw w,negative
myMek Conservative LA Street Artist Sabo strikes againMaxine Waters is mocked on LA billboard advertising the new Halloween movie,negative
aysHummingbird Nunes hid evidence on Trump mp Russian meddlingA top member of House Intelligence Committee has revealed shocking de,negative
Ruhle CONGRESS IS NOT IN SESSION  ealDonaldTrump IS LYING,negative
arkHarrisNC9 My Democrat opponent didnt answer the hard questions tonight  He dodged on supporting Nancy Pelosi and impeaching Pres,negative
athygriffin Trump his family and the GOP were more outraged by my photo holding up a ketchup covered mask resembling Trump than the,negative
How strange is it that Turkey is putting more pressure on the Saudi government than Trump is?,neutral
Calls Trumps Treaty Withdrawal Not the Work of a Great Mind by ANDREW E KRAMER via NYT,positive
Trump Jared and Pompeo are covering up a murder What will you do? Hold an investigation Do it,negative
etasynthie Yep this is the Trump administration attempting to remove the legal protections of the Civil Rights Act in healthcare ho,neutral
endanKip Trans and nonbinary people are real valid and important Fuck the Trump administration Protest be loud and dont let mi,negative
0committee REMINDER US intelligence gave the Trump WH advanced warning  based on detailed TSSI SIGINT from SA  that Riyadh wa,negative
eungminkim Tomorrows Trump rally for Cruz has moved to the larger Toyota Center in Houston  about 19000 capacity per its website,negative
mahaSpeak The Dems worry about Trump They come to DC in Chevys and leave in Cadillacs At least Trump earned it the honest way http,negative
ottaLaff Trump is a weak selfserving little coward,negative
cottAdamsSays The antiTrump press is laying the groundwork for voter suppression to be the Russian collusion of the midterm elec,negative
onathanweisman Trump doesnt have to pay for it The tax paying Christians and others who dont believe,negative
asonHalle OK to Murder Journalist hashoggi mp use Bone Saw to dismember him?Because RUMP does 100s of Millions in business with,negative
Biddies or bros huh? But conservatives are racist?  So they were filming in the middle of a mob,neutral
ylegriffin1 Dick Durbin The only person on earth outside of the Saudi kingdom who appears to accept it is President Donald Trump,negative
ichmanMartin oxNews Its not trump Its Democrats free ride,neutral
Ass,negative
itchellreports On eetthepress ickDurbin takes hard line on Saudis as did GOPs enThomTillis both saying MBS likely responsible,negative
ashingtonpost ashPostPR this is pakistans ministers tweet u r in big trouble now,negative
adresolalinde Que Donald Trump no se rasgue las vestiduras ante el xodo migratorio El capitalismo norteamericano ha arruinado a Hon,neutral
ndDeportations Trump and his little bitches seem really relaxed in the run up before November 6thThis is just a friendly reminder,negative
risSacrebleu How on earth,negative
ocialPowerOne1 Chris Wallace Presses Rand Paul To Explain Why Trump Finds Saudi Explanation Credible,neutral
olitvidchannel Trump said this LIETrump We are looking at putting in a very major tax cut for middleincome people And if we do,negative
hyAsk65 ravenakBlog The GOP has always feared HRC They can not stand a highly educated powerful woman They have been smearing he,negative
ollyJongFast Today is bullshit I present to you,negative
RC We will not be erased,negative
Restartii rthurSchwartz ernovich NNPR AKEIRANGREATAGAINIGARESTAestartOpposition,negative
RUDGEREPO Trump approval jumps ahead of Obama midterm,negative
airasameerarao Donald Trump is not the enemy The culture that created Donald Trump is the enemy That culture is America,negative
hatByCC I find much delight in the realization the democrats are completely out of touch with the American peopleIn 2016 they had,negative
of the day re GOP congressional  enablers of Trump ~ bullies brown~nosers and bunglers,negative
sieff The illiterate the stupid the bigoted yhe lowenergy the lazy inhabitants of Trumpsu,negative
casio2018 This right here is complete bigotry and discrimination full stop This administration stands against our most basic valu,negative
eingold32 We must ALL vote Republican on November 6th for President Trump Congress is a cesspool but it only becomes worse if we sta,negative
anSams Trump wants media to report that Rs are cutting taxes because he thinks that coverage will help them politically  so he baldl,negative
with Mexico  these people want to bring all thier problems to the  Military need start with force Geor,negative
Keile micah1 indilu8 anaswenson007 usanmangione ealLoriAnn homThom9 Americam aligirl4trump1 ammaKel otasnowfl,neutral
ichaelDelauzon Students4Trump MASSIVE RALLIES ARE THE BESTTRUMP  AMERICA FIRST AG,neutral
efenseOne ayitsrob ealDonaldTrump,negative
onathanweisman Whoa a WOW story  the Trump Admin has a new definition of sex that would render 14 million transgendered people le,neutral
damSchiff Saudis latest cover story is not credible and the Presidents willingness to accept it shows the transactional nature of,negative
oyobaba Do Not Engage  Especially if you KNOW its all bullshit All the4y want is something to retweet repost set you up etc,negative
RUDGEREPO Trump approval jumps ahead of Obama midterm,negative
aulkrugman Trumps lies about Soros funding the caravan are a further mainstreaming of an altright conspiracy theory Jewish financi,negative
President Trump coming to Florida?,neutral
aggieNYT Congress is not in session before November,negative
lley167 What are Democrats MSM mp Hollyweird so upset about?Donald J Trumps list of accomplishments are astonishingForgotten Men,negative
attyMurray Listening to President Trump mp Republicans these days you might almost forget that they spent the last several months,negative
auraLoomer Just days after Creepy Porn Lawyer attacked our great president ealDonaldTrump for calling Stormy Daniels horse face,negative
So youre now a Trump sycophant? Trump lost his heart and his morality a long time ago,negative
ylegriffin1 Dick Durbin The only person on earth outside of the Saudi kingdom who appears to accept it is President Donald Trump,negative
equinPatate Look at her standing and grinning while her old fool is spewing his drivel of the day oteBlue oteDem heResista,neutral
ryanbehar One of the many tragedies of the Khashoggi murder Trump doesnt actually believe the Saudis Hes just calculated that h,negative
ationalVIN mabitcSumtimes antWest uluHru mmyamelia146 azorsmack1 arjo111 ruthMaga acknola cal4HIM enGrimes9 ha,neutral
ictimism Perdi o sono e assisti um documentrio chamado Fake News  Baseado em Fatos Reais que fala sobre o papel das fake news na,negative
THE REAL LOSER THAT NO ONE WANTS AND CANT GET A REAL JOB ON SCREEN ANYMORE LOSER DRUNK OR JUST FAT ASS UGL,negative
ahanp They may win because we split the vote We are critical of left leaning politicians while right leaning voters simply have blin,negative
accusing early voters of voting fraud VOTE BLUE,negative
enshapiro That is literally the definition of sex,neutral
ryanbehar This election is not about Trumps shenanigans A GOP Congress will cut Medicare Social Security and health coverage for,negative
cottAdamsSays The antiTrump press is laying the groundwork for voter suppression to be the Russian collusion of the midterm elec,negative
costa More than ever in this country that is under attack by Russia and Trump we stand with our j,negative
laad With this heartless move the Trump Administration is making it even more clear that it is willing to disregard all respected s,negative
course Dems cheat lie and steal,negative
dale8 In March Trump said the Saudi military deals would produce 40000 jobsA week ago he made it 450000 jobs Wednesday 5000,neutral
ladeOICU812 Bottom Lineif you jack with me anywhereattack me in public for supporting Trumpor for being a Consevative Republica,negative
ichaelAvenatti For years Trump told us that he was the tough guy that would command respect from other nations and keep us safe H,negative
harliekirk11 Since Trump took office Democrats haveTried to destroy Justice KavanaughMailed ricin to Sec Mattis Ted Cruz Don,negative
rianklaas Donald Trump has had much harsher criticism toward Nordstrom for dropping Ivankas fashion line than he has toward MBS for,negative
tfsharrod Girl RIGHT A bachelors in AGRICULTURE My sis Stacey Abrams went to a whole IVY LEAGUE and Trump has the nerve to try to,negative
helindsayellis Fuck this literally just saw one of my best friends get deported as a direct result of trump administration mandates,negative
yleDiMarco Disgusting Alarming  TRANS PEOPLE ARE REAL THEIR EXISTENCE ARE NOT UP FOR DEBATEAND this is genocide,negative
career was worth 10 bucks and some ketchup,negative
huckCallesto BREAKING Trump Nears Changing Legal Definition Of Gender To Sex Assigned At Birth,neutral
ailyCaller Benghazi Survivor Has Choice Words For Those Who Criticize Trump Over Khashoggi,positive
rump ribunals ickTock AGA alkAway izzagate,negative
ictimism Perdi o sono e assisti um documentrio chamado Fake News  Baseado em Fatos Reais que fala sobre o papel das fake news na,negative
If youre gonna defend Trump by lying about whether he has financial conflicts of interests at least,neutral
ichaelAvenatti For years Trump told us that he was the tough guy that would command respect from other nations and keep us safe H,negative
Fugelsang says Christ is the AntiTrumpoliticon2018,negative
Calls Trumps Treaty Withdrawal Not the Work of a Great Mind by ANDREW E KRAMER via NYT The New York,positive
aurakBuzz Trump is looking to make it so that trans people will by law be considered their assigned at birth gender forever no matt,neutral
ariojjunior Os ignorantes Isso segundo meus colegas professores de Direito Teve um que j at cassou meu ttulo de Doutor depois,negative
me i guess,negative
ougSides What the radical Democrats did to Justice Kavanaugh and his wonderful family is a national disgrace and dont forget it on,negative
under BREAKING Rep Joaquin Castro has called for an investigation into Jared Kushners involvement in the Khashoggi cover up Trump,negative
auraLoomer Just days after Creepy Porn Lawyer attacked our great president ealDonaldTrump for calling Stormy Daniels horse face,negative
redguttenberg Racist hate group called Proud Boys is showing up to support Trump and Republicans and to harass candidates and voters,negative
auraLoomer Just days after Creepy Porn Lawyer attacked our great president ealDonaldTrump for calling Stormy Daniels horse face,negative
pide a Trump abrir fronteras y recibir a caravana de inmigrantes,negative
arun1 The 45th president of the United States supports a killer king in 2018 Shame on you America ashoggiMurder audiArabia r,negative
harliekirk11 Since Trump took office Democrats haveTried to destroy Justice KavanaughMailed ricin to Sec Mattis Ted Cruz Don,negative
rassenstein Trump calls Saudi Crown Prince Mohammed a strong person who truly loves his countrySo was Hitler Stalin and  Muss,positive
ryanbehar One of the many tragedies of the Khashoggi murder Trump doesnt actually believe the Saudis Hes just calculated that h,negative
Will Johnson niteAmerica1st get kicked out of oliticon for his crime of being a black Trump supporter I,negative
rancesLarina ichaelpollan This isnt about you or Dems talkingThis last week Trump lost base favor bc he supported a murderou,negative
iaoVieira005 ictimism Algumas frases do rapaz do documentrio so esclarecedoras americanos so muito ingnuos e acreditam em tu,negative
You can draw a straight line from the evil Lee Atwater through Newt Rush Bush Palin and now Trump,negative
enshapiro That is literally the definition of sex,neutral
There is one single thing dems need to run on  removing this evil stain called trump That will solve most problems,negative
ealJamesWoods Nobody buys this crap anymore Its such an obvious ploy its embarrassing Christine Ford has more credibility than t,negative
nstapundit More accurate  Max Boot ignored all the angry mobs until he finally found one made up of Trump supporters,negative
on the people who actually believed this was true President Obama should sue the bastard for defamation of,negative
Sweetie I Hate Trump but you knowingly slept with a deplorable piece of shit who has always been a,negative
amierodr10 UPDATE Hundreds of Mexican police in riot gear mobilizing ahead of migrant caravan At 4K strong Mexico should have sent,neutral
dKrassen I predict that in 10 years from now no one will admit that they voted for or ever supported Donald Trump except for the ad,negative
admin considering narrowing legal definition of gender and there are only two Meltdown begins,negative
ollsofpolitics In a Hypothetical 020election match up who gets your vote enWarren or ealDonaldTrump???Please vote and retweet,negative
SCochrane I asked President Trump what evidence he had that hardened criminals are trying to enter the country Oh please please,negative
Administration Eyes Defining Transgender Out of Existence Trump right againthese T,negative
Newsom MOB BOSS,positive
nealsvc onatha25411495 zfornow heblaze My guess is SS closes stage area to protect Pres  Regardl,negative
say this is all Gavin Williamson or the Theresa May Tories as a whole But no its the special relationship,negative
Calls Trumps Treaty Withdrawal Not the Work of a Great Mind by ANDREW E KRAMER via NYT The New York,positive
hannonrwatts Donald Trump giving a harsher warning to Americans about election meddling than hes ever given the Russians,neutral
altshaub Come on damn it Where is the fucking outrage? The UN says theres still time to stop an impending holocaust that is being,negative
ULO9871 BReich Already mailed in my straight Democratic ballotI have terminal esophageal cancer If I can do this then no one,negative
obreiner MBS is lying Khashoggi was murdered If Trump doesnt take appropriate action he will be aiding and abetting that murder,negative
llievan65 Trump on Immigrants You have some very very bad people in the caravan They are  bringing drugs and crime Ill bring out,neutral
The Caravans are a sign that others are in great need mp the US is still a beacon of hope in spite,positive
altshaub Come on damn it Where is the fucking outrage? The UN says theres still time to stop an impending holocaust that is being,negative
A song for Trump haters,neutral
crowd for a democrat There are more people in the bathroom at a President Trump event,negative
eppermint247 I woke to this Im honestly terrified Basically TRUMP asked every gov agency define sex as only man or woman NOT Chang,neutral
emocracyJourno ANDSo is TRUMP,negative
tsJeffTiedrich remember when the Saudis murdered a journalist and Trump demanded justice and called for a full investigation into the,negative
ollyJongFast Another incredibly cruel regressive policy for the administration known for them,negative
enGrimes9 If 4K Hondurans have enough ambition to walk 1200 miles to the US border Why did they not have enough ambition to walk 1,neutral
is no longer in session so this is an empty promise Please  wise and loud,negative
aysHummingbird Nunes hid evidence on Trump mp Russian meddlingA top member of House Intelligence Committee has revealed shocking de,negative
edTRaccoon Trump Administration Quietly Admits There Is No Evidence To Back Claim That Obama Wiretapped TrumpThe Department of Just,negative
Ruhle CONGRESS IS NOT IN SESSION  ealDonaldTrump IS LYING,negative
lennKesslerWP Going through Trump speeches to update our database He tells audiences the opioid bill passed very little Democrat su,negative
aydaymindy9 Jared Kushner is a loser Trump is a criminal MBS is a killer Jamal Khashoggi is dead and they are all responsible The,negative
arahkendzior They arent clumsy They are autocrats flaunting the fact that they can murder with impunity and the West will do noth,negative
liked a ouTube video  Colion Noir Im One of the Few Black People Willing to Admit Voting for Trump Part,negative
elly2277 Khashoggi says Trump mp Kushners secret deal for giving Salman intel on dissidents was money paid by Al Waleed bin Talal,negative
feel sick,negative
nichan If youre a young person in the US youre probably just fine with trans people If thats the case because of this and so man,negative
ichaelDelauzon Students4Trump MASSIVE RALLIES ARE THE BESTTRUMP  AMERICA FIRST AG,neutral
hris22hdz Aye twitter retweet tf outta this till we find the girl with the red cap and convince her to sue her for verbal assault and,negative
demerith This headline is inaccurate the Trump administration is trying to create the illusion that trans people dont exist Transg,negative
epLloydDoggett NEW Today more than 40 lawmakers joined me in urging President Trump to enforce strong sanctions on those responsibl,negative
illben10022180 eorgiasLori omas3percenter Its mostly the media making up a new narrative to stupyto know it will backfire again,positive
randongroeny A FEMALE Trump supporter became surrounded by hardcore leftists illegal aliens and ANTIFA Notice the illegalsShe wa,negative
oyceWhiteVance In the US lying in wait with a plan to kill someone is 1st degree murder I dont know about Saudi but Trumps failu,negative
there are only 2 genders so,negative
edroultreras No se cmo ni por dnde entraron pero vienen miles en la caravana pero ahora en Mexico Cifras oficiales del municipio d,negative
teveSchmidtSES A US permanent resident the Father of American children and a Washington Post columnist was murdered in a Saudi Consu,negative
Days Till Trump Crushes Them Again  pinion,negative
yverShago I meant to post this vid a couple of days ago but got distractedGive it a listenTrump to Blockade Border,neutral
uintabrunson Just pure because we can hate This administration goes out of its way to make life worse for people Just because  T,negative
reakingNLive REPO The Trump administration is considering making changes to how gender is defined reversing Barack Obamas expans,negative
GBTProgress The memo from the TrumpPence Administration lays plain that they refuse to see transgender people as people and that the,neutral
auraLoomer Just days after Creepy Porn Lawyer attacked our great president ealDonaldTrump for calling Stormy Daniels horse face,negative
dKrassen Imagine if Hillary was chatting over WhatsApp with the attackers of Benghazi Then imagine if she provided the attackers wit,positive
ylegriffin1 Dick Durbin The only person on earth outside of the Saudi kingdom who appears to accept it is President Donald Trump,negative
should immediately issue an executive order which terminates any foreign aid to Mexico mp Honduras Tired of l,negative
ictimism Perdi o sono e assisti um documentrio chamado Fake News  Baseado em Fatos Reais que fala sobre o papel das fake news na,negative
henBik Genocidio blanco silenciado en Sudfrica Plan Kalergi de destruccin de las naciones europeas y genocidio del europeo tnico,negative
arahJamieLewis 1933 the Hitler Administration burned the library of the Institut fr Sexualwissenschaft destroying decades of queer,negative
JS54 and getting away with it due to Trump administration,negative
